place_id,review_id_hash,rating,published_at_date,english_review,sentiment,label
ChIJa343WOe9by4Rs_G677RqVOw,503b1cd780d57394f47d0c82f7a4c2c7,3,2022-05-11,"Peace be upon you, and Allah mercy and blessings.... The menu is delicious and the prices are affordable, but the menu doesnt have any creativity. Like a menu list book using photocopies, it should be created in a unique way. And there is another thing about sugar, the sugar is not your own but someone elses product. It should be your own product with the Chimney Cafe logo.",0,1
ChIJ_SoUjeGNei4Rjk2NlnIcFqE,020c6567e7a9602865965a380117d0d6,2,2023-06-14,"when i walked in the atmosphere is quite well, i ordered some food but most of the menus are sold out, but its 21.00 oclock so no big deal. i was left with chicken teriyaki and fries only so i ordered it. 15-20 minutes later they delivered it and oh boy... the portion of chicken is little and rice is not cooked thoroughly, the onions are not caramelized the mushroom is overcooked and chicken is not teriyaki. cooked with no love. the fries are okay. then 5 minutes later our beverage are delivered they look amazing and i dont have any issue with the milk based drink just an average beverages no big deal. but the americano is such a waste on the calibration they had a good beans but boy its so bitter and has a vinegar nites rather than citrusy. i hope this review can help with the food and how the kitchen staff improve better. they had great service but the cashier is a bit dull. they had strategic place so hope you guys can improve keep up the spirit and for the kitchen staffs, please you better not cook if you dont cook with your heart. better off with kfc or mcd",0,1
ChIJeXNmBKgp1i0RD0y9SNcSCv4,0f1136199cba381b019fb63a19103fad,1,2024-04-12,"The food took a very long time to arrive, almost 1 hour The food also came cold There are food items that are out of stock without being informed",0,1
ChIJ3emKyXPraS4RSjtHUoK98m0,a1ef177a3aac18940c3b1f0b37bfd197,1,2024-04-15,"thats crazy. It already feels very different from when it started. now I cant taste the spices. ordered a burger with chicken thighs. My mistake was that I didnt look at the price so I just paid. But the boss said: 3 upper thighs & burgers, thats all in total. The burger was bad. The bun (bread) wasnt toasted first. People couldnt ask for the filling. Cucumber slices. 1 piece & very small. Very good with lettuce and tomato. Its really really bad. People buy it when people ask for it. The chicken is just when they want to eat it. Its the lower thighs. I checked the bill and the lower thighs too. Its really really annoying. Please dont the service be this bad. we buy it, not ASK for it",0,1
ChIJb49uCP30aS4R9ENxRwWw29A,8f30bbd4af44a561c4240e7525d8e6e6,3,2021-05-10,Its just ordinary... But it could be an option if you want pressure cooker chicken that is different from the usual one,0,1
ChIJj5uxQEL71y0RRRkU2TEr1og,a39573c720c1e5d9374c89efbc2050f5,3,2024-04-23,"The coffee is okay, the place is cozy, but the food is lacking. The steak is delicious, there is no sauce. I looked at the other tables where many of their spaghetti hadnt been finished.",0,1
ChIJS8mVmT-pei4R8z-GySKlzRA,1f46ca8f0e252782a61db109f7dea743,1,2024-04-14,"I had made a long reservation to break the fast during the month of Ramadan via WhatsApp, it was okay, right, on the day after arriving, the reservation was not written down. Confirmation on the day of the event was also very unresponsive.",0,1
ChIJhTR82UFZei4RAz7kVFJ2U74,f5310c2ece68223b99b91fd8e66ba0ca,1,2024-02-12,"Next time, if you order correctly, dont play with the order. Order cancel order cancel at will.",0,1
ChIJSUX8s3X1aS4RVLJvuzuf7LI,e6d1540152866926dd13e7545bd95e8c,3,2024-04-26,The wateriest code juice among other outlets. There arent many juice choices because they are empty. Snacks are also empty.,0,1
ChIJpyqq-8lZei4RTekgD9bQ-qU,871988c3a2e8d7321d740ce9e20c7149,2,2022-05-12,"As for the taste, its watery, the taste isnt thick enough and the water is not delicious, you dont taste the milk, thats the way it is, the boba isnt boiled using palm sugar either. it tastes bland. The taste is below average for other boba, sorry",0,1
ChIJI1mATP371y0RHVLaHwtVh6g,e6fba6c4a867cd54d6b876b27aa92f0a,3,2024-03-14,"the food is delicious, unfortunately I have reprimanded the employee for talking to himself and even his voice was annoying, at first the 4 guys were chatting then I called the female employee to tell her if her voice was working, dont chat, even the room was full, their voices were finally ok, if there were a lot of other customers, it was normal. also a restaurant but it didnt take long for the two employees to chat non-stop... it was a shame... actually the food was good but it just wasnt comfortable.",0,1
ChIJbaspY1NYei4R5C-7gvNiB18,0c6b9a2dde40646bf72f00ff6abd8311,1,2024-05-09,The female barista is annoyed with the guy,0,1
ChIJd7UHIwrzaS4RiG5iMwnc1eQ,d580a804a6f2a9e8b5c92575bf01b323,3,2024-04-13,The standard Solaria template food is quite a lot of pepper. Staff is quite capable wlpn during hours.,0,1
ChIJUxD1zBv3aS4RU06gRems67o,d0bdc82e2331af5f476ca8d69ecc6e21,1,2024-04-12,"This order has a top response and the delivery service is a bit long too. If you need it in a rush, dont order here, it might fail the event. Unless ordered before the day. From the initial order until almost 1 hour there was no delivery, just waiting for confirmation of the status on top. Information by wa only stock available at toped. I dont know if its because Im baking or why its a late response. If youre baking, please provide clear information so customers dont wait. Thank you, I hope your input is useful.",0,1
ChIJj9vzoKX2aS4RF3EGNHjn2tU,43a4d5b68f5cdc263ab34e34cbb88089,1,2024-05-06,"Waiting for Grabfood for a long time, up to 2 hours, orders from 8 to 10 are not finished. Please fix it again.",0,1
ChIJp9K8zW1AeC4R7yAcfuXXVKQ,97e770f5d91f4e2fefcea08e38ffd2b5,3,2022-05-12,"Thats really OK, you know",0,1
ChIJx72-RxfxaS4R7ZIsfo-pplI,cabee6ec677ef1e0f551371adc3e2873,2,2022-05-13,Serve dishes too long,0,1
ChIJCy2D0gH1aS4RUjFNjR3Xo1g,bc99a90b3fbc855fd3748c9db9b490df,2,2024-03-10,"For the staff, perhaps they could teach customers to smile more so that they would enjoy eating there and feel comfortable Jutek Jutek is not very friendly at all If its friendly, at least it will be a plus point for food prices that are too expensive and the food and drinks taste just ordinary",0,1
ChIJq_D32-H1aS4R0iOEwzMyLec,47d646885406e1d3f40c5dd8dc678d2e,2,2023-05-10,Too long,0,1
ChIJm-ckxg_Hbi4RJBckShtkiUk,bf46ec826b1308166c0922d74ecefb23,3,2023-05-11,The stall here has delicious noodles,0,0
ChIJcx-MIn-8by4RzRN85TgHBFU,ca75457ba60d261e4eb195b7a0bbca4b,3,2020-05-11,Great..,0,0
ChIJaxvoCHilby4RsRYZGtfpqzc,13b9058f4d852d1862fb2462d4247fdd,1,2024-03-14,"Not a recommendation, just have to eat here",0,1
ChIJ683Y2CZYei4RHtG25Kj-rmY,7b0223f770818ec8337dd2c02cd6433f,1,2023-07-12,"Bought this morning at 9.10, ordered boneless chicken breast, given yesterdays chicken Maybe because its in the packaging, youre free to give it away, where do you buy 2 whole pieces of chicken, theres more white on the chicken... Ill skip it.",0,1
ChIJYTZxWCBF0S0RgIrgaLvrVCA,5c20a123512b6098f57cda5d4ad579cd,2,2023-08-14,35 min pour 3 smoothies bowl et 3 jus. Les smoothies avaient encore de la fraise congelee et des glacons. Des ingredients dans les smoothies non indiques. Les jus avaient beaucoup trop deau. La moitie du menu indispensable. Je ne recommande pas ou alors il faudrait 1 personne en plus et ameliorer la qualite pour ce prix.,0,1
ChIJjZmb7JgSZS4R9xzpdi77cBM,9de814625946b1ed16a2887ed21d2182,3,2024-05-07,"Parking is narrow when you come here, you often park across the street, the tables and places are not clean",0,1
ChIJv_vc51vmaC4RzGsYHBAw7YU,0dfdc94fdc7fcfe48e73143fad441a48,1,2024-01-14,"Very bad service, my Gedeg was very bad",0,1
ChIJG74I3Pj0aS4RW8J0a9UU-1g,c35d0317b5ad5bc5b35f136a50aa13d3,1,2024-04-10,"Not committed to the agreement, already booked and deposited but instead it was canceled H-1",0,1
ChIJCUlr_sDxaS4RxXWkP3iKRQc,70ff7f2ea48aec9a6ff7c9bc82c989c8,1,2024-05-06,Horrible lasagna. I said its bad and cold and yet they didnt do anything about it.,0,1
ChIJJeLymRAm1y0RD4hmNfTuZJI,b331aff753a6a2918b16506d7c54a82c,3,2020-05-14,Adeeeemmmmmm,0,0
ChIJMR1XVMD7aS4RvcnflI_Mvjc,47fa19fe1097ae2b7cd3daacafb9dd5c,1,2023-07-14,"Waited a long time in front of the cashier, but instead of apologizing, he was rude. I didnt hide, my mother didnt call me hahaha thats really funny sis",0,1
ChIJTfvU0mP51y0RJffSniocv8g,84895ede3318d45c7ab00c87fbc352cb,2,2024-05-12,"People havent finished eating yet, instead there are people sweeping and mopping while eating in the area where they are sitting. The restaurant is busy but its disturbing when people are eating, there are even people sweeping and mopping as if they dont respect the customers who are enjoying the food",0,1
ChIJLZEdkJJpei4RLu5JMW0tnRw,102e983b079689fcff2daf58c53139a4,3,2021-05-14,Hmmm,0,0
ChIJJXcJFTs9aS4RpGqBtG5HmW0,9c65366dfd30aa369684ae9b900eaf22,3,2023-05-15,To hang out while drinking coffee...,0,0
ChIJPUQ6A86AeC4R_Xwd4i3Ybyg,5ac1e72a3fcb4334ddf9e578942adcc6,3,2023-07-12,Theres not enough space. The cooking is still okay. Prices are also still standard,0,1
ChIJq6qatk0HQi4RfUd4vHi7GFE,1261ac8da569431b925a28476c62ae3d,2,2024-03-10,"The dine-in area is not comfortable and there are very few people even though there are quite a lot of people dine-in. Please add more tables to the table and the air conditioning above and below is also not cold (hot)!!! The taste of Richeese in Citra Raya is much worse than the other branches Ive tried, the fire chicken sauce is a bit dry and thin. Then the flying chicken tastes bland and not as juicy as the second one, even though the other branches Ive visited are more seasoned, please improve the quality of taste and comfort.",0,1
ChIJP59hwPZZei4RWxV5QaUdI9Q,6f147cce43b407878fc25165ca1eb606,1,2024-04-12,"small chicken, iced tea is not sweet (mostly ice). Not wort it",0,1
ChIJ7TkzPeDsaS4ROnDK0nC5Fe4,92c714fd6f7b11bc425ae957cf418532,1,2020-05-10,Pub is pub.,0,0
ChIJRfsjnvf2aS4Ru8ZWkPBZzYE,fd77c89c89e7b1aa60fb6d81129406b6,3,2024-03-10,"Nasgor It feels different from before Now its messy and uneven, the rice is dry",0,1
ChIJDdym5kOUaS4RP_uUUyHXaVA,d614b5e90d546a5f8bb506e0d226bdba,3,2021-05-15,25000 price for iced tea or iced tea in a medium size glass,0,1
ChIJnfT_euxYei4R24lcNO7Gi5A,17abf075f71b63f68a71af3e9b13c515,1,2024-02-12,"Not suitable for wfc or on duty, the baristas and employees often chat and their voices are loud.",0,1
ChIJH1Lt4L4fai4RXjDGyc4dFzg,c94c90bd514dba745a3369b258ec42a8,3,2021-05-10,"Wifi ID Sto Tanjung Priok in my opinion has a quite strategic place because it is close to the terminal and there are Indomaret and cafes that can accompany us when surfing the internet happily here, unfortunately the network quality in this place is not good and stable so it is very disturbing when we are surfing the internet happily",0,1
ChIJXR7RgxWReS4RPv0c7i1hJds,c275825b819598d19e3318839d760cb0,3,2024-01-12,"Clean place, nice view of the rice fields at the back with Mt Lawu in the background. What needs to be improved is the cooking spices. Still not good enough.",0,1
ChIJRXFiaNE7Qi4RKJ9RBlk5hjc,535d42c4effa84a71d6f1d4f7f1d5f14,2,2024-04-14,"We ordered chicken steak and it was tasteless, they only gave a piece of brocolli, a slice of carrot and a piece of cauli flower. Totally not worth the price. My daughter ordered ramen and like wise it was also tasteless. I think that fasting shouldnt be the reason to served that kind of food. At least they should have a standar ingredients in the recipe right?",0,1
ChIJL1iwvLwJby4RYuGWsh-k47Q,bd2eeeb8c270871ece06b24a660112d3,2,2024-04-11,"Order using the Memories Coffee application but the service takes precedence over those who buy directly, in fact they are confused by orders that have just arrived,,, they should have kept the order. The wait was quite long, 40 minutes",0,1
ChIJ2WHTAwcNeC4Rgk8yofta82k,ffd2ef4095f46c4dad65d8c338a33144,3,2023-05-14,"The only person looking after him is alone, so it takes a long time",0,1
ChIJsZYQXBgfai4Ra_MxD9iC_mM,8c63d3eb750cc3db2632ada9e06e304d,1,2023-05-10,I am very lucky,0,0
ChIJu46AxyZYei4RuIq-5pavcfA,d7425973fd3c4ff5b05d0b462d8dd70e,3,2023-06-12,Absolutely doesnt suit my taste... The taste tends to be plain/bland... More suitable for people who dont like food that is too spicy...,0,1
ChIJSzxLVvm_by4RpDKrXmCWuWo,d438f48b69b509ac68d8dc261561de8b,1,2023-10-14,"I almost didnt find it, instead I found it already in the laundry",0,1
ChIJWStS7HOJcC4RbhEaBbnLaaE,36a1f0a476b71b874f3503df16536a5f,3,2024-02-14,"The prices are really cheap, starting from 8 or 7 thousand, and many are 10 thousand or so. The most expensive Ropang was 12 thousand, but I was full so I didnt order it. As for the coffee...... Yes, the taste is worth the price, its nice to make it yourself   . The place is noisy, the music is really loud. Coffee from previous customers wasnt cleaned straight away until it piled up. Then you understand why you dont finish it",0,1
ChIJv1JfF3f1aS4RRuHhTz67ADU,9ce5f8a2a38b41dca5382d82b53df610,3,2024-04-10,"I was the same curious about this restaurant, when I saw the menu it was really tempting, when I saw the first menu I ordered beef Yakiniku (2) Beef Teriyaki (1) Chicken egg mayo (1) I swear it was really delicious, as a result I had good expectations I ordered the chicken egg mayo again in the hope of getting the same taste, when it arrived then I tasted the chicken powder, it was a little bit different from what my sister ordered, but I still enjoyed eating it, my husband is a very careful person when it comes to eating chicken because he has never It also happened that I bought smashed chicken in gamateng, when he opened it at first he only saw blood and I still said its just a little, thats all, the others can still be eaten. I went to the ladies, the ladies really apologized, when I tried to check on the other chicken again, the same thing also looked at me, I immediately took a plate of chicken to the ladies who were cooking near the ladies, you know what the response was, JUST SHUT UP LOOKING AT THE CHICKEN, ITS NOT THERE. WHAT DO YOU TALK TO ME, at least small talk, do you want to change the cake or something, Im happy to let you know, its true that the price is affordable but its not too cheap, shay, I swear, please improve the employees so theyre friendlier + have a good attitude towards customers, The other thing is delicious, but the problem is that the salad doesnt have enough taste but the mayo is still okay, but if its already RAW Im sorry, this isnt sashimi, my darling! If the employees or the restaurant still deny that the chicken is dead, be healthy, good luck with your business!",0,1
ChIJxQ9-rQC7by4R627Rhpw5IdI,0a32402f320dc8bf18a08823ff3b4f85,2,2022-05-14,"Try hanging out for dinner with your wife and sibocil here + the place is comfortable and instagrammable + the menu is quite varied + the price is still affordable + there is live music + lots of plugs - There are no baby chairs (not child friendly) its complicated if you eat with a child here - There is no non-smoking area - the sound of the live music is a bit loud so its a bit difficult to chat when you have to shout - Theres a jukir! Big turnoff, spacious parking and quiet but there is a parking lot",0,1
ChIJyUK0CYqFZS4RGmHA7xWSsrk,e02628ad5a3c7a44e3757b38d3dfb6ea,3,2020-05-14,Reasonable,0,0
ChIJxwKPJ3v3aS4Rxgd9TMtxSSQ,3d6efc04748eb753f6387170020c9a29,3,2024-04-10,serving takes more than 30 minutes :(,0,1
ChIJU1puKRH3aS4RL3MEJOdgS5k,e16ddd532a4ff78b0f2a3bcb134d295c,3,2023-08-10,Standard food in general,0,1
ChIJ2WHTAwcNeC4Rgk8yofta82k,31285c857f88afa6e04bfa3867ae4894,1,2024-04-23,"Bad service, even though I wanted to pick up an order from the F&B app, when I was in front of the cashier he just passed me by...",0,1
ChIJIYhaYub4aS4RE-gUUILXcfY,237b2104b0f5c8af91a313c0b6bf0ef4,3,2021-05-14,Good ambience. But the food need to upgrade,0,1
ChIJr54uMjvvaS4RbTmSvrsuEzg,236129bac76206b49b17276186e97167,1,2024-05-07,"Ive been waiting for an hour and then asked more than twice and always answered just a moment, sir until finally it was explained to the input section and the cashier that the food had not been made yet and finally it was cancelled, there was no apology at all from the waiter....",0,1
ChIJn4FNEd3Hbi4RooQV7gjJ-Wk,7d4631767fbb9832ea37a43361207643,3,2021-05-11,Fight,0,0
ChIJrRaDTZf5ei4RB7snozxvtZE,64779f5f88989ac7d15905525970a1f7,1,2023-08-12,The coffee is delicious but the seller is not friendly,0,1
ChIJbbPfcDJYei4RO72lsCmSMRE,e5d30b3ac302f0474eefb3a65da771b7,1,2024-04-28,"Thats a picture before I eat. Order tomato seafood noodles, really not worth serving. Very different from the picture. Please, if you intend to sell with a little serious eatery frills. It doesnt matter how expensive the price is, the most important thing is that the reality is not far from the picture on the menu.",0,1
ChIJU5Sinp6_eS4R7OLuBR_2G-E,e75ea2843d4ef532962005eafb976120,1,2024-04-14,Nyamuk jan akeh....... Suwi pelayanane....... Tempat r sumuk sekali,0,1
ChIJz1OFdS33ei4RzTxn-r0YTXY,e39eadb7791ddfd0d4d844913984a11f,3,2024-03-12,"the coffee is ok 8/10 The atmosphere is chill and cool because the place is open The rice bowl with sambal matah is a little dry on the chicken. but the chili sauce is okay, the chicken should be fresher, dont try to fry the chicken a bit the brain is good standard price for pandan coffee is 18k the ricebowl is 20k brain brain 18k The kwetiaw is delicious and the price is 24k The service is okay, only the first time I came, the female barista was a bit unfriendly, but the second time I came here, the service was OK.",0,1
ChIJHxJMSHHxaS4RO_pXyzJWXY4,a5b6698d89a8792f0401230c85d8c33d,3,2023-05-13,"Food so so and pricey, but have decent selection of gelato",0,1
ChIJYzwfz17vaS4RzUKK8kUj7kA,6e86be028419b891be88a0eb51fa2874,1,2023-05-14,Fraud,0,0
ChIJtysfS4xeZS4RWEVzWxrGTdM,f62965b1d15a72dfb9d92f7ef9688785,3,2024-04-14,Food serving takes too long,0,1
ChIJAaL6yFtTQi4RXo1421_bj-o,23802f740314f8c2aa5bf4b9767aee66,1,2024-04-19,"We ask that Alfamart and its staff, cashier staff and sales assistants, be given training in terms of customer service, including greeting customers who enter and saying thank you with a smile to customers who have purchased products at Alfamart Cikeusik. Because every time I shop there is no good service from the staff. A lot of merchandise is messy and dusty, lots of promotional items have already passed their promotional period. The shopping amount is not the same as what was purchased, there is not even a promotional offer or anything. There is no sentence that there are alpha members, sir maam, even though it is clear that it has become a soup for the cashier on duty. Yes, in essence, as a customer, I felt that my presence was not appreciated, the queue of buyers paying at the cashier was disorderly, playing around as they pleased and there was no reprimand from the staff on duty. The service provided by Alfamart Cikeusik was very, very bad... Please provide evaluation and training to all Alfamart employees so they know how to provide comfort when shopping and good service to every customer.",0,1
ChIJ4_OMfwDLei4ReHT1I69ksEc,32b8dd71596a45e9d59a32ecabb6bd44,1,2024-04-23,Food is not fresh,0,1
ChIJxbTbU4PvaS4RJk0xukDy7d0,dbfc87d96c80ff277afb35418aa7b5ef,2,2024-02-14,"Bad service The menu is not clear, what you order comes with what AC is hot",0,1
ChIJLxByxwZfei4RjiT8g6pbXVE,6e8de13ce14642b44b46cccde7528bbd,3,2024-04-21,"Ambience Very suitable for nature lovers and children who like playing in water. The eyes are pampered by the nuances of nature with a touch of Bali, the ears are soothed by the sound of the river flowing and the occasional laughter from small children who are bathing. The location is not recommended for wheelchair users and those who have foot problems because they have to go down the stairs and walk several meters to get to the restaurant area. Food & Beverage Hopefully it can be further improved Service Hopefully it can be further improved. Several times I ordered additional menus, but they didnt come until the bill closed and apparently it wasnt recorded. Maybe Im confused because I ordered a lot.",0,1
ChIJq6qatk0HQi4RfUd4vHi7GFE,e5f13359dd6205b8acded4c84bfd1860,1,2024-04-10,Lots of green flies,0,1
ChIJffwnrjlfby4R0zHWfIEb0M4,d95b0736e642c3742cd9e5fbd1269e5b,1,2024-04-11,"Bad service, one table has a different order time, those who come first order later, He said according to the queue",0,1
ChIJORbPCZ5b0S0R0pAdiZlIEZo,457f2e0016c870d5e180f4efe47659fd,3,2023-05-14,"instant noodle food, at 11 the lights were turned off, motorbike parking was difficult, especially car parking...",0,1
ChIJ7Z4lMgf7aS4RlxhSXWO6xc8,77504f1310f9a7b63e4589498f728d65,1,2024-05-03,"Bad employee service for online drivers, there is no politeness, when you ask nicely, you even get angry, you wait a long time for food, when you ask nicely, the answer is not yet and I dont know if its ready, but its just waiting inside.",0,1
ChIJY559K49Xei4RX594eK5GO3k,960b51973287a43de6e6f42f8c0577ce,3,2020-05-14,Fair!,0,1
ChIJg3rdvRW7by4R18RtLrySFmE,eea2898d3ae26cc86703d4911269dfd1,3,2023-06-14,"In my opinion, the bathroom is not suitable",0,1
ChIJ-5QwxqPtaS4RfLduZRMOG2s,ca8b55930c0005eb7f5f91d925463dee,1,2024-05-06,"Many of the orders havent arrived yet, but the package has taken a long time",0,1
ChIJqZ0V5_X71y0RS4M7xoBVPfc,3ada5ba200511f58f933f9095c8a3426,1,2024-01-12,"Very unfriendly service, highly not recommended",0,1
ChIJ19giTsj1aS4RENTjrwcZcYA,7fe8e41190067c8daab5a37105cc7ac1,3,2024-02-10,"It seems like Ive been to this place a few times, the tenants have changed again and there are several empty units, its a shame even though the place is nice... maybe there arent enough visitors, especially on weekends or the rent is too expensive :p",0,1
ChIJK7aVErhXZS4Rka-o-uuQHLA,4dba8d7c799bb0478d3a468bde27967e,2,2023-05-14,Wow,0,0
ChIJN6HyKbUbeS4RqnZ26n0k-rA,01b97dbc1e51c053fbcd06547b16693d,3,2023-08-12,"Some of the lights in the interior are flickering and cant be fixed, Ive been back and forth here on assignment but the lights still wont be fixed, what are you waiting for them to turn off? But the music that is played is also increasingly unclear, previously it was pop but now its whatever the employees like, theres no clear concept and soup to take to the cafe, the sound inside isnt played, the sound is only in the kitchen. Im disappointed, even though this used to be the best place to hang out and do homework too.",0,1
ChIJI1UNjRT71y0RxbqEJQaE51g,8c05d50ef834e6e8a38a7ec1cc852690,1,2024-05-07,"Im a Bober customer who comes here almost every day with at least 4 friends at a time, sitting while working, no problems with all of them except 1. Currently you cant smoke indoors like before, sorry Bober, my friends and I might look for it today another place to work, thank you for accompanying me all this time.... 1 star because you can no longer smoke inside",0,1
ChIJq6q2igBWei4RjuEU76JKnhE,a3349ecb045d2d435fbed0fbf525558b,3,2022-05-12,Fresh,0,0
ChIJgc4-mNKTeS4RxFIL9ith_Vs,d1756773264fc88d435578265ed2b673,3,2022-05-12,It feels great,0,0
ChIJP-IEBVJJaC4RgcGMIxaHg_4,252227b4ad338d84ed74a2cdf323953c,1,2022-05-15,"Actually a regular, the chicken noodles are really addictive. But increasingly here the service is becoming less and less. Fans are only for those working, customers who eat there are too hot. The owner is rude, when he calls him to pay, he just stays busy playing on his cellphone, while the employees are maxing out.",0,1
ChIJ1USCw_tXei4RN3C6IJG6AHY,01b88c608779f0c1e7967bf28c9a164b,3,2023-05-14,"Order the Caramel Sauce Croffle. One has something like strawberry filling, I dont know if thats the case or not but the other one is plain and tastes a bit burnt. I havent finished 2 pieces of Choco Crunchy Churros but its already a bit boring. Either its too sweet or the flour taste is really dominant. What should be appreciated is that when it arrived everything was still hot and really crunchy! Maybe the quality can be improved :D",0,1
ChIJfxQYTLZZei4RNieO0-m0uRk,2f94195dcb5549deb97dbc0edd305892,1,2024-05-05,This gimmick business... fyp everywhere right here zonk. Its not busy but the service is very slow. The food also tastes B. Just 1x,0,1
ChIJjZW_VXLxaS4Rv-GPl05bvFg,6cbd0453eaf31a6ca8f7341a62964886,1,2024-03-13,"Suggestion for the owner, please check the employees at the Jl branch again. Setiabudi West Pamulang, I tonight Monday, March 4 2024 ate here, the service was very, very bad. I dont want to know if there are few employees or if you are tired, but please excellent service is necessary!!!! MY GOAL IS TO EAT! I EAT I PAY! I waited 2 hours for my order, passed by 4 people who had just arrived but their order had been delivered first. I still understand that I might have forgotten, but when my husband asked for our order again, the order was delivered very impolitely, the chopsticks were thrown, not put down gently. Our order was changed without confirmation!!!! We ordered 2 wafuyaki chicken, 1 chicken teriyaki, 1 ebi katsu, 3 sweet esteh. But what was delivered was 1 wafuyaki, 2 teriyaki chicken, ebi katsu and iced tea. The receipt can be seen by employees changing it without confirmation. We know youre tired, at least give us the education please wait, bro If you cant smile and tell us, its better to provide good service. Dont make our orders carelessly and put them in physical condition.",0,1
ChIJ_2Wb_WbseC4RxwV7UVhgEqU,a33609ce65c1d6ade2aaeb29718bc313,1,2023-07-14,Thank God almost every Sunday night,0,0
ChIJDSsqUaTzaS4Rtj9a_MPMuZE,c3b4036fa8592cea693914c834dd96dc,3,2023-08-13,Lumayan...,0,1
ChIJK7aVErhXZS4Rka-o-uuQHLA,948295f86f72c7936f9a6fc28442aa79,3,2023-05-14,"The service must be more disciplined, bro, thanks. Thats it, ae si",0,1
ChIJeZTZby49aS4Rx0Rl7v-jykI,38f4494efab320b5bab7382a35627832,1,2023-05-15,Its not recommended that the order takes a long time to arrive,0,1
ChIJY08swcL61y0R_ZObdqyabes,af4d9411f6a2f11225b680d8044a7480,2,2020-05-14,"The food and drinks are good, but the place is too dirty and too many mosquitoes",0,1
ChIJR9W40wx4ei4RLWbqrWhWaj0,b3a7089467ceeb3cda6325897386629f,2,2020-05-14,"Clean neat, new room design",0,0
ChIJv_vc51vmaC4RzGsYHBAw7YU,b3acca904a94380b78f28357fea25fc6,1,2023-05-14,not satisfactory,0,1
ChIJDQvF5aIjQi4RT8K8dbo4H-k,76e82efd39343be52f376625d88fcdf9,1,2022-05-14,"Bad service, tacky, slow, very city style",0,1
ChIJuX7_wGaYZS4RMWKojlP7pYE,1365263a0aa9af755c758a2cca71a90d,1,2023-05-15,The baverage isnt good at all..   waiting time is too long.. tooks 15 minutes for 1 menu,0,1
ChIJl_-u2Db71y0RXF1iuj7Yf9w,5fd18e81ed4f558a66cb0f23726f6b61,1,2023-06-14,"The service is too slow, the order hasnt arrived yet, people are hungry... the service is slow",0,1
ChIJFX47RZr71y0RfgcUQ5jWPkk,e77096317b6f517fb923834a5bf3969a,3,2020-05-12,The taste is good but the employees are not professional enough to make customers reluctant to come back again,0,1
